user_id,user_tags
0,Menulis|Membaca|Bernyanyi|Disiplin|Independen
1,Membaca|Pecinta alam|Memasak|Ngopi|Kritis
2,Kecerdasan buatan|Penerjemah|Menggambar|Bernyanyi|Puzzle
3,Memanjat|Binaraga|Olahraga|Analis keamanan|Memanjat
4,Dokter|Sosmed|Musisi|Analitis|Kuliner
5,Analitis|Analitis|Catur|Kpopers|Berkebun
6,Memancing|Jogging|Membaca|Menonton|Berdiskusi
7,Membaca|Programmer|Main kartu|Pemandu wisata|Sepak bola
8,Memasak|Desainer grafis|Memanjat|Bisnis|Astrografi
9,Menggambar|Berdiskusi|Berjiwa sosial|Kritis|Filsafat
10,Sutradara|Bersepeda|Disiplin|Badminton|Bernyanyi
11,Memancing|Merokok|Ngopi|3D Modelling|Konsultan
12,Catur|Wibu|Pramugari|Aktor/Aktris|Main kartu
13,Bernyanyi|Melukis|Budaya|Penyiar radio|Filsafat
14,Rendah hati|Kerja|Motivator|Basket|Petualangan
15,Memasak|Ahli hukum|Analis keamanan|Disiplin|Lari
16,Merokok|Golf|Penerjemah|Sulap|Jurnalis
17,Cosplay|Kutu buku|Konservasi|Peneliti|Berjiwa petualang
18,Futsal|Musisi|Sepak bola|Ramah|Ahli ekologi
19,Browsing|Sutradara|Membaca|Penuh daya juang|Menonton
20,Menonton|Nakhoda kapal|Merenung|Rendah hati|Bisnis
21,Trading|Berjiwa petualang|Badminton|Film|Pengajar
22,Sutradara|Humoris|Jurnalis|Berkuda|Grafity
23,Diplomat|Bermain musik|Penuh daya juang|Arsitek|Film
24,Bersepeda|Sosmed|Berenang|Stylist|Gamers
25,Membaca|Bekerja|Skena|Menyanyi|Nakhoda kapal
26,Kuliner|Berhitung|Hiking|Editor|Olahraga
27,Tidur|Aktor/Aktris|Komposer|Penuh semangat|Bersepeda
28,Merenung|Desain Ui|Sejarah|Multimedia|Model
29,Konservasi|Puzzle|Desainer interior|Analitis|Percaya diri
30,Binaraga|Kreatif|Ahli hukum|Penyiar radio|Pengusaha
31,Belajar|Penulis lagu|Hang Out|Tenis meja|Fotografi
32,3D Modelling|Jalan jalan|Komposer|Analitis|Ahli hukum
33,Penata rambut|Petualangan|Pelukis|Ramah lingkungan|Rendah hati
34,Merenung|Prank|Kesehatan|Hiking|Merenung
35,Membaca|Gym|Touring|Cerdas|Penyanyi
36,Main kartu|Rebahan|Menjahit|Penuh energi|Pembuat perhiasan
37,Penerjemah|Browsing|Tidur|Rebahan|Arkeolog
38,Voli|Pembuat perhiasan|3D Modelling|Melukis|Touring
39,Menonton|Memancing|Visioner|Stylist|Hiking
40,Traveling|Pramugari|Perawat|Curhat|Sastra
41,Inovatif|Belajar|Ahli nutrisi|Bersepeda|Ramah lingkungan
42,Memanjat|Kecerdasan buatan|Sabar|Romantis|Anak Senja
43,Wibu|Curhat|Kutu buku|Desain|Dermawan
44,Kritis|Perfeksionis|Seniman|Inovatif|Ambisius
45,Jurnalis|Futsal|Desain Ui|Pet lovers|Ramah lingkungan
46,Memancing|Akting|Bernyanyi|Pecinta alam|Rebahan
47,Menggambar|Desain|Browsing|Astronom|Kutu buku
48,Ramah lingkungan|Suka menolong|Rebahan|Melukis|Ilustrator
49,Ilustrator|Pecinta alam|Penyanyi|Self development|Suka menolong
50,Teknologi|Cosplay|Jogging|Membaca|Badminton
51,Berenang|Eksperimen|Sulap|Penuh energi|Atlet
52,Sepak bola|Penyanyi|Grafity|Kutu buku|Jogging
53,Fotografi|Futsal|Jurnalis|Berkuda|Terorganisir
54,Intelektual|Kuliner|Memasak|Tidur|Meditasi
55,Optimis|Kutu buku|Tidur|Penuh energi|Nakhoda kapal
56,Membaca|Menonton|Astrografi|Astronom|Kreatif
57,Multimedia|Membaca|Ice skating|Terorganisir|Puzzle
58,Prank|Menggambar|Cosplay|Rendah hati|Bermain musik
59,Traveling|Berenang|Ngopi|Bisnis|Konsultan
60,Main kartu|Sabar|Kritis|Anak Senja|Akting
61,Videografi|Main kartu|Jogging|Olahraga|Ramah
62,Gym|Jalan jalan|Kuliner|Aktor/Aktris|Penyiar radio
63,Bisnis|Olahraga|Ramah lingkungan|Gamers|Menulis
64,Merenung|Coding|Belajar|Fotografi|Fashion
65,Menjahit|Surfing|Membaca|Ilmuwan data|Mendengarkan musik
66,Analis keamanan|Riang|Binaraga|Kutu buku|Percaya diri
67,Pemandu wisata|Berenang|Penyanyi|Bisnis|Kurator
68,Astronom|Hang Out|Trading|Futsal|Suka menolong
69,Coding|Menyanyi|Penuh daya juang|Kecerdasan buatan|Pemadam kebakaran
70,Pramugari|Rubik|3D Modelling|Animator|Menggambar
71,Browsing|Analitis|Multimedia|Keibuan|Pramugari
72,Futsal|Ngopi|Pengusaha|Pecinta alam|Jalan jalan
73,Menyanyi|Nakhoda kapal|Kecerdasan buatan|Inovatif|Berhitung
74,Olahraga|Introspektif|Psikolog|Billiard|Poker
75,Membaca|Gym|Ambisius|Keibuan|Perfeksionis
76,Ice skating|Akting|Editor|Eksperimen|Ice skating
77,Menggambar|Peneliti|Humoris|Sepak bola|Bernyanyi
78,Bernyanyi|Futsal|Berkebun|Menyelam|Binaraga
79,Berjiwa sosial|Cosplay|Dokter|Fotografer|Model
80,Jalan jalan|Memancing|Pengusaha|Menyelam|Terorganisir
81,Poker|Ice skating|Desain|Independen|Yoga
82,Belajar|Ice skating|Gamers|Curhat|Penulis
83,Berenang|Jalan jalan|Terorganisir|Patriotik|Manajemen
84,Memanjat|Touring|Tidur|Pemadam kebakaran|Menyelam
85,Ice skating|Fleksibel|Ilmuwan data|Suka menolong|Kesehatan
86,Menggambar|Memancing|Penerjemah|Fleksibel|Inovatif
87,Riang|Multimedia|Menggambar|Geolog|Pengajar
88,Futsal|Basket|Sutradara|Bersepeda|Badminton
89,Fotografi|Bersepeda|Pendaki|Dokter|Videografi
90,Bernyanyi|Penyiar radio|Pet lovers|Ramah lingkungan|Belajar
91,Curhat|Merenung|Pembuat perhiasan|3D Modelling|Perfeksionis
92,Humoris|Kesehatan|Bekerja|Petualangan|Merokok
93,Analis keamanan|Puzzle|Musisi|Pet lovers|Lari
94,Membaca|Desainer grafis|Belajar|Memanjat|Kerja
95,Touring|Kuliner|Ramah|Hang Out|Pemandu wisata
96,Berdiskusi|Wibu|Diskusi|Curhat|Ramah lingkungan
97,Binaraga|Trading|Inovatif|Penata rambut|Disiplin
98,Sepak bola|Berdiskusi|Cosplayer|Disiplin|Kerja
99,Aktor/Aktris|Fashion|Skena|Petualangan|Astrografi
100,Berenang|Kutu buku|Desainer grafis|Fleksibel|Programmer
101,Pengusaha|Olahraga|Keibuan|Penuh daya juang|Visioner
102,Menjahit|Bekerja|Jogging|Penata rambut|Visioner
