id,talent_tags
0,Kpopers|Olahraga|Berjiwa petualang|Badminton|Hiking
1,Seniman|Desain|Kreatif|Inovatif|Optimis
2,Kuliner|Traveling|Petualangan|Bersepeda|Kutu buku
3,Teknologi|Programmer|Inovatif|Analitis|Coding
4,Pengajar|Membaca|Ambisius|Visioner|Cerdas
5,Game|Teknologi|Optimis|Manajemen|Dermawan
6,Koki|Fotografer|Seni|Konsultan|Riang
7,Kreatif|Fotografer|Fotografi|Stylist|Rubik
8,Kuliner|Memasak|Traveling|Koki|Kritis
9,Fotografi|Fotografer|Traveling|Pialang saham|Petualangan
10,Programmer|Coding|Inovatif|Optimis|Pramugari
11,Gym|Binaraga|Olahraga|Cerdas|Jogging
12,Seni|Desain|Pengajar|Kreatif|Cerdas
13,Membaca|Penulis|Cerdas|Seni|Sastra
14,Fotografi|Traveling|Petualangan|Fashion|Filsafat
15,Programmer|Coding|Anak Senja|Kreatif|Analitis
16,Sutradara|Kreatif|Penulis|Akting|Merokok
17,Gym|Binaraga|Olahraga|Cerdas|Jogging
18,Intelektual|Kreatif|Desain|Menggambar|Menari
19,Traveling|Membaca|Petualangan|Independen|Basket
20,Pendaki|Atlet|Fotografi|Petualangan|Fleksibel
21,Pengajar|Inovatif|Teknologi|Disiplin|Intelektual
22,Berkuda|Seniman|Seni|Bisnis|Kreatif
23,Penulis|Jurnalis|Sastra|Kreatif|Cerdas
24,Traveling|Patriotik|Petualangan|Videografi|Ramah
25,Programmer|Coding|Teknologi|Inovatif|Analitis
26,Seni|Kreatif|Seniman|Visioner|Suka menolong
27,Pengajar|Motivator|Sabar|Fotografer|Meditasi
28,Musisi|Penyanyi|Psikolog|Menyanyi|Menyelam
29,Membaca|Penulis|Sastra|Kreatif|Berkebun
30,Fotografi|Fotografer|Motivator|Ramah|Visioner
31,Pendaki|Visioner|Jogging|Traveling|Petualangan
32,Olahraga|Gym|Binaraga|Cerdas|Pengajar
33,Psikolog|Desain|Kreatif|Menggambar|Inovatif
34,Membaca|Penulis|Pengajar|Sabar|Optimis
35,Seni|Fotografer|Desain|Kreatif|Analitis
36,Film|Akting|Aktor/Aktris|Kreatif|Percaya diri
37,Programmer|Coding|Teknologi|Inovatif|Ambisius
38,Musisi|Humoris|Komposer|Menjahit|Kurator
39,Fotografi|Videografi|Editor|Kreatif|Keibuan
40,Olahraga|Gym|Skena|Cerdas|Seniman
41,Penyanyi|Menyanyi|Musisi|Hiking|Wibu
42,Traveling|Pengusaha|Ilustrator|Pecinta alam|Penerjemah
43,Membaca|Penulis|Sastra|Kreatif|Intelektual
44,Programmer|Teknologi|Coding|Inovatif|Optimis
45,Filsafat|Model|Membaca|Kreatif|Sabar
46,Fotografi|Videografi|Penuh energi|Kreatif|Puzzle
47,Sabar|Pengajar|Cerdas|Intelektual|Catur
48,Olahraga|Gym|Binaraga|Cerdas|Penata rambut
49,Membaca|Penulis|Sastra|Kreatif|Riang
50,Desain|Seni|Ilustrator|Ilustrator|Kreatif
51,Film|Akting|Sutradara|Kreatif|Menyanyi
52,Programmer|Teknologi|Coding|Inovatif|Robotika
53,Fotografi|Penyiar radio|Mendengarkan musik|Kreatif|Penyiar radio
54,Fotografer|Berenang|Pramugari|Koki|Pemadam kebakaran
55,Psikolog|Yoga|Cerdas|Ahli biologi|Seniman
56,Seni|Film|Akting|Kreatif|Filsafat
57,Teknologi|Programmer|Inovatif|Coding|Analitis
58,Musisi|Diskusi|Penyanyi|Menyanyi|Komposer
59,3D Modelling|Ilustrator|Kreatif|Desain|Menggambar
60,Penulis|Membaca|Sastra|Kreatif|Intelektual
61,Pengajar|Sabar|Psikolog|Bekerja|Disiplin
62,Gym|Skena|Disiplin|Ambisius|Montir mobil
63,Olahraga|Traveling|Prank|Wibu|Menonton
64,Videografi|Kreatif|Independen|Bekerja|Intelektual
65,Tidur|Arsitek|Kreatif|Memanjat|Meditasi
66,Membaca|Pengajar|Sabar|Disiplin|Ambisius
67,Seni|Kreatif|Akting|Desainer grafis|Ambisius
68,Desain|Ilustrator|Kerja|Kreatif|Bekerja
69,Peneliti|Intelektual|Teknologi|Bekerja|Perawat
70,Yoga|Disiplin|Robotika|Bermain musik|Binaraga
71,Programmer|Coding|Inovatif|Teknologi|Ramah
72,Pengajar|Disiplin|Memanjat|Ramah|Sabar
73,Fotografer|Traveling|Fotografer|Olahraga|Manajemen
74,Penulis|Sastra|Kreatif|Seni|Ramah
75,Animator|Belanja|Kreatif|Bekerja|Fleksibel
76,Pelukis|Seni|Kreatif|Ramah|Kurator
77,Psikolog|Ramah|Pemadam kebakaran|Humoris|Kritis
78,Penyanyi|Musisi|Sastra|Skena|Ahli biologi
79,Dokter|Kesehatan|Ramah|Sabar|Disiplin
80,Gym|Disiplin|Kesehatan|Ramah|Sabar
81,Pembuat perhiasan|Kreatif|Ramah|Memanjat|Optimis
82,Astronom|Astrografi|Intelektual|Cerdas|Ambisius
83,Arkeolog|Fashion|Desain|Kreatif|Ambisius
84,Koki|Memasak|Kreatif|Cerdas|Ramah
85,Kreatif|Percaya diri|Trading|Ahli ekologi|3D Modelling
86,Pengajar|Bisnis|Konsultan|Kreatif|Disiplin
87,Penulis|Kreatif|Sastra|Disiplin|Penulis lagu
88,Film|Editor|Sutradara|Penulis|Kreatif
89,Bisnis|Motivator|Konsultan|Kutu buku|Optimis
90,Penulis|Kreatif|Film|Disiplin|Akting
91,Editor|Kreatif|Perfeksionis|Disiplin|Ramah
92,Pengajar|Yoga|Sabar|Disiplin|Cerdas
93,Penulis|Traveling|Kreatif|Ahli biologi|Skena
94,Fotografer|Editor|Fotografi|Ramah|Fotografi
95,Peneliti|Intelektual|Ambisius|Cerdas|Dermawan
96,Arkeolog|Arsitek|Kreatif|Bekerja|Cerdas
97,Pengajar|Seni|Kreatif|Cerdas|Intelektual
98,Inovatif|Coding|Programmer|Bekerja|Traveling
99,Kreatif|Membaca|Patriotik|Rebahan|Kurator
